Row Labels;Average of Average Time;;;;;;;Row Labels;Average of Distance
0,00;137,4161561;;;;;;;0,00;732835,88
12,50;136,9376204;;;;;;;12,50;737468,66
25,00;136,6159375;;;;;;;25,00;750679,7963
37,50;136,0636347;;;;;;;37,50;758369,8112
50,00;135,5628674;;;;;;;50,00;765629,7238
Grand Total;136,5192432;;;;;;;Grand Total;748996,7743
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;Row Labels;Average of Distance
;;;;;;;;409,00;490442,83
Row Labels;Average of Average Time;;;;;;;546,00;674306,796
409,00;133,7870458;;;;;;;683,00;823660,797
546,00;137,3191766;;;;;;;820,00;1007576,674
683,00;138,0361176;;;;;;;Grand Total;748996,7743
820,00;136,934633;;;;;;;;
Grand Total;136,5192432;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Row Labels;Average of Average Time;;;;;;;Row Labels;Average of Distance
4,00;136,0453972;;;;;;;4,00;743967,0695
9,00;136,9930893;;;;;;;9,00;754026,479
Grand Total;136,5192432;;;;;;;Grand Total;748996,7743
