SimParams,trips,409,uams,0.0,tlps,4

TLPName,UAMS_IN,UAMS_OUT
0_0,0,0
0_1,0,0
1_0,0,0
1_1,0,0

Average_Travel_Time,Total_Distance,UAMS_Ground_Distance,UAMS_Air_Distance,UAMS_GtoA_Ratio
134.17275747508305,474243.99,0.0,0.0,


SimParams,trips,409,uams,0.0,tlps,9

TLPName,UAMS_IN,UAMS_OUT
0_0,0,0
0_1,0,0
0_2,0,0
1_0,0,0
1_1,0,0
1_2,0,0
2_0,0,0
2_1,0,0
2_2,0,0

Average_Travel_Time,Total_Distance,UAMS_Ground_Distance,UAMS_Air_Distance,UAMS_GtoA_Ratio
135.6523178807947,483303.7800000004,0.0,0.0,


SimParams,trips,409,uams,0.125,tlps,4

TLPName,UAMS_IN,UAMS_OUT
0_0,1,0
0_1,0,4
1_0,4,0
1_1,1,2

Average_Travel_Time,Total_Distance,UAMS_Ground_Distance,UAMS_Air_Distance,UAMS_GtoA_Ratio
132.85526315789474,484245.66,57412.83930000005,10219.4162,0.1779987947748125


SimParams,trips,409,uams,0.125,tlps,9

TLPName,UAMS_IN,UAMS_OUT
0_0,0,0
0_1,0,0
0_2,0,0
1_0,0,0
1_1,2,3
1_2,3,1
2_0,1,2
2_1,2,1
2_2,0,1

Average_Travel_Time,Total_Distance,UAMS_Ground_Distance,UAMS_Air_Distance,UAMS_GtoA_Ratio
135.77740863787375,482720.12000000046,58521.45919999993,11484.6625,0.1962470289872747


SimParams,trips,409,uams,0.25,tlps,4

TLPName,UAMS_IN,UAMS_OUT
0_0,0,1
0_1,1,6
1_0,8,0
1_1,1,5

Average_Travel_Time,Total_Distance,UAMS_Ground_Distance,UAMS_Air_Distance,UAMS_GtoA_Ratio
133.69306930693068,487364.1499999999,111933.12540000006,19446.401100000003,0.1737323158851061


SimParams,trips,409,uams,0.25,tlps,9

TLPName,UAMS_IN,UAMS_OUT
0_0,1,0
0_1,0,0
0_2,0,2
1_0,1,5
1_1,7,6
1_2,5,2
2_0,2,2
2_1,6,6
2_2,0,0

Average_Travel_Time,Total_Distance,UAMS_Ground_Distance,UAMS_Air_Distance,UAMS_GtoA_Ratio
134.02941176470588,500778.4100000003,132217.03999999992,30608.899799999996,0.2315049542782081


SimParams,trips,409,uams,0.375,tlps,4

TLPName,UAMS_IN,UAMS_OUT
0_0,0,6
0_1,2,6
1_0,12,0
1_1,3,6

Average_Travel_Time,Total_Distance,UAMS_Ground_Distance,UAMS_Air_Distance,UAMS_GtoA_Ratio
131.55445544554456,490533.69000000006,171989.25099999993,29951.4976,0.17414749715957545


SimParams,trips,409,uams,0.375,tlps,9

TLPName,UAMS_IN,UAMS_OUT
0_0,2,0
0_1,0,2
0_2,1,3
1_0,2,4
1_1,9,7
1_2,7,0
2_0,1,2
2_1,5,9
2_2,0,1

Average_Travel_Time,Total_Distance,UAMS_Ground_Distance,UAMS_Air_Distance,UAMS_GtoA_Ratio
134.4805194805195,505276.86000000034,176437.1357000001,37397.7209,0.211960598609967


SimParams,trips,409,uams,0.5,tlps,4

TLPName,UAMS_IN,UAMS_OUT
0_0,1,7
0_1,6,5
1_0,14,0
1_1,2,12

Average_Travel_Time,Total_Distance,UAMS_Ground_Distance,UAMS_Air_Distance,UAMS_GtoA_Ratio
133.21311475409837,496814.84,251618.84960000025,39939.0261,0.15872827557828548


SimParams,trips,409,uams,0.5,tlps,9

TLPName,UAMS_IN,UAMS_OUT
0_0,2,0
0_1,0,2
0_2,1,0
1_0,3,5
1_1,15,10
1_2,8,4
2_0,4,4
2_1,3,12
2_2,0,2

Average_Travel_Time,Total_Distance,UAMS_Ground_Distance,UAMS_Air_Distance,UAMS_GtoA_Ratio
131.81045751633988,499146.84000000026,245128.33169999986,50477.6815,0.20592348974894129


SimParams,trips,546,uams,0.0,tlps,4

TLPName,UAMS_IN,UAMS_OUT
0_0,0,0
0_1,0,0
1_0,0,0
1_1,0,0

Average_Travel_Time,Total_Distance,UAMS_Ground_Distance,UAMS_Air_Distance,UAMS_GtoA_Ratio
137.32518337408314,658929.8500000001,0.0,0.0,


SimParams,trips,546,uams,0.0,tlps,9

TLPName,UAMS_IN,UAMS_OUT
0_0,0,0
0_1,0,0
0_2,0,0
1_0,0,0
1_1,0,0
1_2,0,0
2_0,0,0
2_1,0,0
2_2,0,0

Average_Travel_Time,Total_Distance,UAMS_Ground_Distance,UAMS_Air_Distance,UAMS_GtoA_Ratio
138.94117647058823,662945.5600000005,0.0,0.0,


SimParams,trips,546,uams,0.125,tlps,4

TLPName,UAMS_IN,UAMS_OUT
0_0,2,1
0_1,1,2
1_0,1,0
1_1,0,1

Average_Travel_Time,Total_Distance,UAMS_Ground_Distance,UAMS_Air_Distance,UAMS_GtoA_Ratio
136.91727493917276,665696.7400000002,71593.07719999999,6190.2532,0.08646441027680818


SimParams,trips,546,uams,0.125,tlps,9

TLPName,UAMS_IN,UAMS_OUT
0_0,0,0
0_1,0,1
0_2,0,0
1_0,1,0
1_1,2,4
1_2,2,0
2_0,1,1
2_1,1,2
2_2,0,0

Average_Travel_Time,Total_Distance,UAMS_Ground_Distance,UAMS_Air_Distance,UAMS_GtoA_Ratio
138.7463054187192,663095.2900000005,84184.32879999993,9203.1927,0.10932192287075652


SimParams,trips,546,uams,0.25,tlps,4

TLPName,UAMS_IN,UAMS_OUT
0_0,2,5
0_1,1,6
1_0,9,0
1_1,2,3

Average_Travel_Time,Total_Distance,UAMS_Ground_Distance,UAMS_Air_Distance,UAMS_GtoA_Ratio
136.94403892944038,675549.6100000001,159789.18980000014,23610.0631,0.14775757439881568


SimParams,trips,546,uams,0.25,tlps,9

TLPName,UAMS_IN,UAMS_OUT
0_0,0,0
0_1,1,1
0_2,1,2
1_0,2,4
1_1,4,3
1_2,2,2
2_0,1,1
2_1,4,4
2_2,0,0

Average_Travel_Time,Total_Distance,UAMS_Ground_Distance,UAMS_Air_Distance,UAMS_GtoA_Ratio
137.62530413625305,672110.1199999999,169312.85369999995,21844.251099999998,0.12901708655094274


SimParams,trips,546,uams,0.375,tlps,4

TLPName,UAMS_IN,UAMS_OUT
0_0,0,5
0_1,4,9
1_0,14,1
1_1,4,9

Average_Travel_Time,Total_Distance,UAMS_Ground_Distance,UAMS_Air_Distance,UAMS_GtoA_Ratio
135.90975609756097,678619.2400000001,249369.62390000024,42030.2473,0.1685459786267094


SimParams,trips,546,uams,0.375,tlps,9

TLPName,UAMS_IN,UAMS_OUT
0_0,1,0
0_1,0,2
0_2,2,3
1_0,2,5
1_1,9,8
1_2,9,5
2_0,3,5
2_1,8,9
2_2,0,1

Average_Travel_Time,Total_Distance,UAMS_Ground_Distance,UAMS_Air_Distance,UAMS_GtoA_Ratio
138.22355769230768,695678.74,256938.11909999998,48348.7367,0.18817268869779005


SimParams,trips,546,uams,0.5,tlps,4

TLPName,UAMS_IN,UAMS_OUT
0_0,2,5
0_1,1,12
1_0,17,1
1_1,3,7

Average_Travel_Time,Total_Distance,UAMS_Ground_Distance,UAMS_Air_Distance,UAMS_GtoA_Ratio
136.10386473429952,686644.9500000001,312168.00779999985,42479.8454,0.13608007335337205


SimParams,trips,546,uams,0.5,tlps,9

TLPName,UAMS_IN,UAMS_OUT
0_0,2,0
0_1,0,3
0_2,1,1
1_0,7,5
1_1,10,12
1_2,6,10
2_0,7,2
2_1,7,10
2_2,0,2

Average_Travel_Time,Total_Distance,UAMS_Ground_Distance,UAMS_Air_Distance,UAMS_GtoA_Ratio
136.48048780487804,683797.8600000001,333732.11640000006,55547.75349999999,0.16644413519201828


SimParams,trips,683,uams,0.0,tlps,4

TLPName,UAMS_IN,UAMS_OUT
0_0,0,0
0_1,0,0
1_0,0,0
1_1,0,0

Average_Travel_Time,Total_Distance,UAMS_Ground_Distance,UAMS_Air_Distance,UAMS_GtoA_Ratio
138.4690618762475,803447.3200000006,0.0,0.0,


SimParams,trips,683,uams,0.0,tlps,9

TLPName,UAMS_IN,UAMS_OUT
0_0,0,0
0_1,0,0
0_2,0,0
1_0,0,0
1_1,0,0
1_2,0,0
2_0,0,0
2_1,0,0
2_2,0,0

Average_Travel_Time,Total_Distance,UAMS_Ground_Distance,UAMS_Air_Distance,UAMS_GtoA_Ratio
139.326,807398.68,0.0,0.0,


SimParams,trips,683,uams,0.125,tlps,4

TLPName,UAMS_IN,UAMS_OUT
0_0,0,1
0_1,0,1
1_0,5,1
1_1,1,3

Average_Travel_Time,Total_Distance,UAMS_Ground_Distance,UAMS_Air_Distance,UAMS_GtoA_Ratio
137.5843373493976,798507.4400000005,97603.75129999997,9438.6963,0.09670423702249652


SimParams,trips,683,uams,0.125,tlps,9

TLPName,UAMS_IN,UAMS_OUT
0_0,0,0
0_1,1,1
0_2,0,0
1_0,1,1
1_1,5,1
1_2,1,1
2_0,1,1
2_1,0,5
2_2,0,0

Average_Travel_Time,Total_Distance,UAMS_Ground_Distance,UAMS_Air_Distance,UAMS_GtoA_Ratio
138.944,808749.1200000002,77963.13980000002,11765.4787,0.1509107859198867


SimParams,trips,683,uams,0.25,tlps,4

TLPName,UAMS_IN,UAMS_OUT
0_0,0,1
0_1,3,6
1_0,5,1
1_1,5,6

Average_Travel_Time,Total_Distance,UAMS_Ground_Distance,UAMS_Air_Distance,UAMS_GtoA_Ratio
138.29644268774703,820182.0400000004,202183.4677999998,23129.675299999995,0.1143994390425626


SimParams,trips,683,uams,0.25,tlps,9

TLPName,UAMS_IN,UAMS_OUT
0_0,2,0
0_1,1,1
0_2,0,1
1_0,2,4
1_1,9,7
1_2,5,9
2_0,2,5
2_1,7,4
2_2,1,1

Average_Travel_Time,Total_Distance,UAMS_Ground_Distance,UAMS_Air_Distance,UAMS_GtoA_Ratio
138.98814229249012,831823.2300000003,176068.69720000032,43260.00230000001,0.2456995649309543


SimParams,trips,683,uams,0.375,tlps,4

TLPName,UAMS_IN,UAMS_OUT
0_0,2,3
0_1,1,7
1_0,14,0
1_1,2,10

Average_Travel_Time,Total_Distance,UAMS_Ground_Distance,UAMS_Air_Distance,UAMS_GtoA_Ratio
137.5920792079208,821653.7100000002,288943.54389999976,33249.5478,0.11507281786336541


SimParams,trips,683,uams,0.375,tlps,9

TLPName,UAMS_IN,UAMS_OUT
0_0,2,0
0_1,0,4
0_2,1,0
1_0,7,6
1_1,13,15
1_2,11,5
2_0,6,6
2_1,7,8
2_2,0,3

Average_Travel_Time,Total_Distance,UAMS_Ground_Distance,UAMS_Air_Distance,UAMS_GtoA_Ratio
137.13188976377953,842765.6100000001,311316.95960000006,61554.0138,0.19772136371590077


SimParams,trips,683,uams,0.5,tlps,4

TLPName,UAMS_IN,UAMS_OUT
0_0,2,7
0_1,5,16
1_0,19,1
1_1,7,11

Average_Travel_Time,Total_Distance,UAMS_Ground_Distance,UAMS_Air_Distance,UAMS_GtoA_Ratio
135.90495049504952,831394.3600000003,439673.3064000004,58976.56599999999,0.13413724495329046


SimParams,trips,683,uams,0.5,tlps,9

TLPName,UAMS_IN,UAMS_OUT
0_0,3,0
0_1,2,3
0_2,3,2
1_0,6,7
1_1,17,18
1_2,15,12
2_0,6,8
2_1,8,14
2_2,1,2

Average_Travel_Time,Total_Distance,UAMS_Ground_Distance,UAMS_Air_Distance,UAMS_GtoA_Ratio
138.1242718446602,870686.4600000003,413519.4131999997,89629.8073,0.2167487291742947


SimParams,trips,820,uams,0.0,tlps,4

TLPName,UAMS_IN,UAMS_OUT
0_0,0,0
0_1,0,0
1_0,0,0
1_1,0,0

Average_Travel_Time,Total_Distance,UAMS_Ground_Distance,UAMS_Air_Distance,UAMS_GtoA_Ratio
137.2665589660743,983862.8300000002,0.0,0.0,


SimParams,trips,820,uams,0.0,tlps,9

TLPName,UAMS_IN,UAMS_OUT
0_0,0,0
0_1,0,0
0_2,0,0
1_0,0,0
1_1,0,0
1_2,0,0
2_0,0,0
2_1,0,0
2_2,0,0

Average_Travel_Time,Total_Distance,UAMS_Ground_Distance,UAMS_Air_Distance,UAMS_GtoA_Ratio
138.20645161290324,988555.0300000005,0.0,0.0,


